reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_genes,gene_ids,gene_names,equation
HMR_1478,Sterol 14Alpha-Demethylase,Cholesterol metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,1595.1,G_1595__46__1,M00939[c] + h[c] + nadph[c] + o2[c] --> M00937[c] + 2.0 h2o[c] + nadp[c]
3HBCDm,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",Butanoate metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,55268.1,G_55268__46__1,b2coa[m] + h2o[m] <=> 3hbcoa_R[m]
3HBCOAHLm,"3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial","Valine, leucine, and isoleucine metabolism",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,3hibutcoa[m] + h2o[m] --> 3hmp[m] + coa[m] + h[m]
3HXKYNDCL,3-Hydroxykynurenamine Decarboxy-Lyase,Tryptophan metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,1644.1,G_1644__46__1,hLkynr[c] + h[c] --> 3hxkynam[c] + co2[c]
3HXKYNOXDA,3-Hydroxykynurenamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing),Tryptophan metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,2,4128.1;4129.1,G_4128__46__1;G_4129__46__1,3hxkynam[c] + o2[c] --> 48dhoxquin[c] + h2o2[c] + nh4[c]
3M4HDXPAC,3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase,Tyrosine metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,4,218.1;221.1;222.1;220.1,G_218__46__1;G_221__46__1;G_222__46__1;G_220__46__1,3mox4hpac[c] + h2o[c] + nad[c] <=> 2.0 h[c] + homoval[c] + nadh[c]
3MLDAt,3Mlda Extracellular Transport via Diffusion,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,3mlda[c] <=> 3mlda[e]
3MOX4HOXPGALDOX,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase,Tyrosine metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,4,218.1;221.1;222.1;220.1,G_218__46__1;G_221__46__1;G_222__46__1;G_220__46__1,3m4hpga[c] + h2o[c] + nad[c] --> 3mox4hoxm[c] + 2.0 h[c] + nadh[c]
r1903,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ile_L[e] + na1[e] + phe_L[c] --> ile_L[c] + na1[c] + phe_L[e]
3MOX4HOXPGALDOX_NADP_,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase,Tyrosine metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,4,218.1;221.1;222.1;220.1,G_218__46__1;G_221__46__1;G_222__46__1;G_220__46__1,3m4hpga[c] + h2o[c] + nadp[c] <=> 3mox4hoxm[c] + 2.0 h[c] + nadph[c]
3SALAASPm,Cysteinesulfinate-Aspartate Mitochondrial Shuttle,"Transport, mitochondrial",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,2,10165.1;8604.1,G_10165__46__1;G_8604__46__1,3sala[m] + asp_L[c] <=> 3sala[c] + asp_L[m]
3SALATAi,3-Sulfino-Alanine Transaminase (Irreversible),Methionine and cysteine metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,2805.1,G_2805__46__1,3sala[c] + akg[c] + h[c] --> 3snpyr[c] + glu_L[c]
3SALATAim,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",Methionine and cysteine metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,2806.1,G_2806__46__1,3sala[m] + akg[m] + h[m] --> 3snpyr[m] + glu_L[m]
3SPYRSP,3-Sulfinopyruvate Hydrolase (Spotaneous Reaction),Methionine and cysteine metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,3snpyr[c] + h2o[c] --> h[c] + pyr[c] + so3[c]
