gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
2766_AT1,GMPR,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GMPR
51292_AT1,GMPR2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GMPR
9152_AT1,SLC6A5,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GLYt7_311_r
2542_AT1,SLC37A4,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,G6Pter
2593_AT1,GAMT,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GACMTRc
2593_AT2,GAMT,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GACMTRc
5052_AT3,PRDX1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
2588_AT1,GALNS,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,SIAASEly;GALASE1ly
257202_AT1,GPX6,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPe
6531_AT1,SLC6A3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DOPAt4_2_r;NRPPHRt4_2_r
6530_AT1,SLC6A2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DOPAt4_2_r;NRPPHRt4_2_r
2878_AT1,GPX3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPe
4758_AT1,NEU1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,SIAASEly;GALASE1ly
7001_AT1,PRDX2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
1621_AT1,DBH,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,DOPABMO
10935_AT2,PRDX3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPm
5052_AT1,PRDX1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
5052_AT2,PRDX1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
5476_AT1,CTSA,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,SIAASEly;GALASE1ly
26002_AT1,MOXD1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,DOPABMO
