reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
RXN_45_12585,RXN-12585,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,3,HS05232;HS00013;HS09183,ALDH1A2;ALDH1A3;ALDH1A1,CRPB_45_all_45_trans_45_Retinal_c + WATER_c + nad_c <=> Cellular_45_Retinol_45_Binding_45_Proteins_c + 2.0 h_c + nadh_c + retn_c
RXN_45_12581,RXN-12581,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,2,HS10180;HS06629,SDR16C5;RDH16,CRPB_45_all_45_trans_45_Retinol_c + nad_c <=> CRPB_45_all_45_trans_45_Retinal_c + h_c + nadh_c
2_46_3_46_1_46_135_45_RXN,2.3.1.135-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS04474,LRAT,CRPB_45_all_45_trans_45_Retinol_c + PHOSPHATIDYLCHOLINE_c <=> 2_45_Acylglycero_45_Phosphocholines_c + All_45_trans_45_Retinyl_45_Esters_c + Cellular_45_Retinol_45_Binding_45_Proteins_c
RXN_45_12575,RXN-12575,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,5,HS10575;HS08398;HS10576;HS10578;HS11616,CES8;CES7;CES3;CES2;CES1,All_45_trans_45_Retinyl_45_Esters_c + WATER_c <=> CPD_45_13524_c + Fatty_45_Acids_c + h_c
HOLO_45_ACP_45_SYNTH_45_RXN,HOLO-ACP-SYNTH-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS14278,AASDHPPT,All_45_apo_45_ACPs_c + coa_c <=> All_45_holo_45_ACPs_c + h_c + pap_c
6_46_3_46_4_46_9_45_RXN,6.3.4.9-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS08386,HLCS,BIOTIN_c + apo_45_Transcarboxylases_c + atp_c <=> amp_c + holo_45_Transcarboxylases_c + ppi_c
RXN_45_20550,RXN-20550,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS14850,NAPEPLD,WATER_c + pNAPE_c <=> 1_45_Alkenyl_45_2_45_Acyl_45_Glycerol_45_3P_c + N_45_Acylethanolamines_c + h_c
RXN_45_20548,RXN-20548,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,5,HS13847;HS05099;HS05614;HS17140;HS17690,G_HS13847;PLA2G2A;OC90;G_HS17140;G_HS17690,WATER_c + pNAPE_c <=> 2_45_Lyso_45_N_45_Acyl_45_Plasmalogens_c + Fatty_45_Acids_c + h_c
RXN_45_20553,RXN-20553,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS14850,NAPEPLD,N_45_Ara_45_Ethanolamine_45_Plasmalogen_c + WATER_c <=> 1_45_Alkenyl_45_2_45_Acyl_45_Glycerol_45_3P_c + CPD_45_7598_c + h_c
RXN_45_20552,RXN-20552,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,5,HS13847;HS05099;HS05614;HS17140;HS17690,G_HS13847;PLA2G2A;OC90;G_HS17140;G_HS17690,N_45_Ara_45_Ethanolamine_45_Plasmalogen_c + WATER_c <=> 2_45_Lyso_45_N_45_Arachidonoyl_45_Plasmalogens_c + Fatty_45_Acids_c + h_c
